,start,end,duration,text
0,00:00:00.000,00:00:04.000,4.0, I can tell you that the occult people all believe stuff can step right out of thin air.
1,00:00:04.000,00:00:06.000,2.0, That's what they write in all the documents.
2,00:00:06.000,00:00:09.000,3.0," I mean, no good occultist doesn't believe... I mean, you're not a very good occultist."
3,00:00:09.000,00:00:11.000,2.0," You can't get that to happen, I guess."
4,00:00:11.000,00:00:13.000,2.0, I wouldn't be impressed with you.
5,00:00:13.000,00:00:17.000,4.0," And since so much deals with the occult,"
6,00:00:17.000,00:00:23.000,6.0, it's important to understand the history behind some of the occult.
7,00:00:23.000,00:00:29.000,6.0," Jesus said to be wise as serpents, but gentle as doves."
8,00:00:29.000,00:00:33.000,4.0," So when we look at occult, we probably ought to start in"
9,00:00:33.000,00:00:37.000,4.0, at some of the basic elements of it in your modern age.
10,00:00:37.000,00:00:41.000,4.0," And the hero of modern occultism, or one of them,"
11,00:00:41.000,00:00:45.000,4.0," would be, of course, Aleister Crowley, seen here with the eye on top of his head,"
12,00:00:45.000,00:00:48.000,3.0, the pyramid eye on top of his head.
13,00:00:48.000,00:00:51.000,3.0," And that symbol right there, it's only really appropriate"
14,00:00:51.000,00:00:55.000,4.0, that that symbol begin to take its rise again as you lead towards the end.
15,00:00:55.000,00:00:57.000,2.0, That symbol is the 70.
16,00:00:57.000,00:01:01.000,4.0," Images of that rotating thing captured by U.S. Navy aircraft,"
17,00:01:01.000,00:01:04.000,3.0, sensors locking in on the target.
18,00:01:04.000,00:01:08.000,4.0," Commander David Fravor saw it firsthand during a training mission,"
19,00:01:08.000,00:01:11.000,3.0, describing it like a 40-foot-long tic-tac.
20,00:01:11.000,00:01:15.000,4.0," This entity called Lamb, he claimed would physically manifest"
21,00:01:15.000,00:01:18.000,3.0, in the midst of some of these rituals.
22,00:01:18.000,00:01:22.000,4.0, It is also believed to be the first drawing in modern history
23,00:01:22.000,00:01:25.000,3.0, of what today is called a gray alien.
24,00:01:25.000,00:01:27.000,2.0," That's kind of interesting, isn't it?"
25,00:01:27.000,00:01:30.000,3.0, This is a story that starts with a snake.
26,00:01:30.000,00:01:33.000,3.0, This show has closely followed the possibility there could be
27,00:01:33.000,00:01:36.000,3.0," unknown entities in the skies above us, I believe that,"
28,00:01:36.000,00:01:39.000,3.0," but could they be even closer than that, right here?"
29,00:01:39.000,00:01:42.000,3.0, A new Wall Street Journal report profiles the many parents
30,00:01:42.000,00:01:45.000,3.0," who think they can see ghosts, specters, and mysterious movements"
31,00:01:45.000,00:01:48.000,3.0, on their advanced baby monitors.
32,00:01:48.000,00:01:50.000,2.0," Well, the UFO phenomenon, it was always there."
33,00:01:50.000,00:01:52.000,2.0," Oh, man, it's breaking our physics."
34,00:01:52.000,00:01:55.000,3.0, Maneuvering rapidly and changing direction.
35,00:01:55.000,00:01:58.000,3.0," And as we both looked out the right side of our airplane,"
36,00:01:58.000,00:02:01.000,3.0," we saw a disturbance in the water and a white object,"
37,00:02:01.000,00:02:03.000,2.0," oblong, pointing north."
38,00:02:03.000,00:02:06.000,3.0," The object was first sighted in 2004,"
39,00:02:06.000,00:02:09.000,3.0, then similar objects again in 2015.
40,00:02:09.000,00:02:13.000,4.0," But, I mean, the objects were always, I mean, the whole UFO phenomenon"
41,00:02:13.000,00:02:15.000,2.0, would just appear and then disappear.
42,00:02:15.000,00:02:17.000,2.0," So the question becomes, where's it when you don't see it?"
43,00:02:17.000,00:02:19.000,2.0," And there's so many of them, man."
44,00:02:19.000,00:02:21.000,2.0, People catch these on their cell phones everywhere.
45,00:02:21.000,00:02:23.000,2.0, It sounds like it's not coming from other planets.
46,00:02:23.000,00:02:26.000,3.0, It's almost like it's a more localized phenomenon.
47,00:02:26.000,00:02:28.000,2.0," Do that which is coming, as it were, indeed,"
